"","Year","breeding_tmp","breeding_pr","postbreed_tmp","winter_tmin","winter_pr"
"1",1999,-0.0530089247378006,0.481404876719669,-0.0527522414516512,0.0481482531353389,0.22423661285225
"2",2000,0.0343529086718858,0.0508659480326632,0.0858330913202348,0.393830697415251,-0.0993493801737172
"3",2001,-0.181341986739852,0.49822680136131,-0.153431147610648,-0.039537045819752,-0.623285233124561
"4",2002,0.0154994829414775,0.269281742810485,0.0131300136387799,-0.0855948140073442,-0.421256048237878
"5",2003,0.24494185604844,-0.789848459483398,-0.214694676109724,0.0426303533276899,0.117911881401273
"6",2004,-0.218513245056066,-0.54524724525481,0.0607865918931697,-0.258222070133182,-0.535380232460355
"7",2005,0.0557323230664095,-0.425188803095862,0.106110282169667,-0.295775140075022,-0.540139614997035
"8",2006,0.190171462606806,-0.325674178374265,0.526805461938733,0.400804567438377,-0.0372486794710378
"9",2007,0.214719665274136,0.417694291137105,-0.225052350629571,0.156468409736319,-0.330447356754224
"10",2008,0.109501909020927,0.170800279430639,0.0126795884696491,-0.0385914931225293,-0.0692459985399421
"11",2009,0.213229573002327,-0.289259800163017,0.226982925456177,-0.206052793243768,-0.193129447335718
"12",2010,0.00816718670464587,-0.0060348482349505,-0.163458815624686,-0.0553499451784133,-0.543758499549549
"13",2011,0.0999857385386671,-0.237376104791194,0.242491265371336,-0.0351138383996333,0.689476489290118
"14",2012,0.0727684888298778,0.0851040387975986,0.12037012740417,-0.084073365069884,0.260374194075663
"15",2013,-0.106778872297376,0.298974743438361,0.0629689894146473,0.273540986812537,0.446185903583445
"16",2014,-0.0249077463989401,0.260424430127307,0.330288425076722,0.197312187728959,-0.226124446924078
"17",2015,0.284514845800358,0.0381587388464175,0.0265097943153865,0.383109627596497,0.708052307156677
"18",2016,-0.0628164549735317,0.778645170560307,0.0388550884023367,-0.0573332188310638,-1.05034962541388
"19",2017,0.212061610970095,-0.275573499521901,-0.0952226212769263,0.0855816161798369,1.04967848639233
"20",2018,0.363926221939572,-0.949616125440319,0.295056077335881,0.121052075476872,0.211434643826893
