"delta.tavg_1_n5","delta.tavg_1_n5.cov","delta.tavg_17_12","delta.tavg_17_12.cov","delta.tmin_n1_n9","delta.tmin_n1_n9.cov"
0.0190863978598996,0.0167777347021203,7.39450327423753e-06,0.0122664253909271,0.00946074479283027,0.00653500167894839
0.0215600002478453,0.0190672098536484,5.85994280646306e-06,0.0139055445896289,0.0109691057900569,0.00758497570429376
0.0207062300266813,0.0182774166414196,6.03428350538941e-06,0.0132898500460721,0.0104710987151633,0.00722696292055468
0.0218557641906154,0.0193391449876229,5.48306611335056e-06,0.0141201020397244,0.0111398368620355,0.00770769920822267
0.0232752728957036,0.0206433553477653,4.54632423533285e-06,0.0150109598408081,0.0119974877637434,0.00829574027584564
0.0176097975241895,0.0153926566204632,1.10220957358855e-05,0.0112147312882339,0.00852186008532803,0.00586310869063614
0.0183889896889385,0.0161308169145853,1.16497918710565e-05,0.0118832944245202,0.00898120711703653,0.00621361377144346
0.0243190898837103,0.0216187034492058,2.98603339917513e-06,0.015448072082574,0.0127516665669626,0.00875755629681565
0.01709837585984,0.0148619323334568,2.56548543921042e-05,0.0106432304387559,0.0080649888913757,0.00547335451263011
0.0168450606869348,0.0144620314541439,0.00014626179750726,0.00800026812883596,0.00785407799094814,0.00454918388185721
0.0192687775223169,0.0169172960453069,1.31114813735696e-05,0.0123960309616072,0.00946011462549354,0.00653313493232419
0.0178938387423673,0.0156445414019488,1.33097453292989e-05,0.011386814826101,0.00865711405957151,0.00595212781668401
0.0170571604224634,0.0148680248394356,1.77122692022915e-05,0.0108323379875907,0.00811836233880749,0.00556828581817749
0.0174382134136201,0.0152247124211408,1.52615335326156e-05,0.0110955753655526,0.00837191384828094,0.00575174243016158
0.021880086166505,0.0193669921575435,5.12394541689173e-06,0.0140530440218925,0.011199309228605,0.00773026037569877
0.0164929606977743,0.0142943168849881,3.54952788435917e-05,0.0101014317429279,0.00767951818037674,0.00516199819262456
0.0172465604941982,0.015000757678351,2.20302394496066e-05,0.0107386824712732,0.00817238836254605,0.00555770017143586
0.0191550636915469,0.0168248824626224,1.18722650439817e-05,0.0123629096637377,0.00941659461679766,0.00651202275030712
0.0174306346692937,0.0152166961326381,1.55540622066885e-05,0.0111141622886707,0.00835248526346159,0.00574190217917657
0.0173087371058481,0.0150573259632795,1.89941901045211e-05,0.0107866650372644,0.00822166953039503,0.00559645858966766
0.016320059665571,0.0141482925542089,3.45981352285276e-05,0.0100492209559158,0.00760241000772532,0.00512066119521238
0.0186738328871284,0.016369985351922,1.17000881678022e-05,0.0119446498654902,0.00913544542461285,0.00629556633218284
0.0184036965285936,0.0161307496762204,1.26856496044257e-05,0.0118458036510605,0.00896603594979137,0.00619225201788024
0.0200859244807872,0.0176969254466336,7.77039895327769e-06,0.012929334272614,0.0100491074951795,0.00694485297471759
0.0166425939170392,0.0142503458948406,8.1481314040379e-05,0.00862074228896607,0.00755530244569942,0.0046099700673638
0.0182912681982424,0.016006505299482,1.09151953502925e-05,0.0116144544554495,0.00891034882955064,0.00612429283787933
0.0226938282319039,0.0201163357782717,4.21304737774902e-06,0.0146564549332074,0.0116645249834026,0.00806916810762152
0.0189436414087099,0.0166156110681442,9.49053802976273e-06,0.0120295275122181,0.00933683835502225,0.00641965302435813
0.0272396621486452,0.0243009388219451,1.4977390645812e-06,0.0172241965775322,0.0145309940399488,0.00996125091760235
0.019877755001907,0.0174990928129126,9.54371946480164e-06,0.0128336805484921,0.00988578703074837,0.00683865814258205
0.0160815776882439,0.0138599617310154,5.45332715872113e-05,0.00932517231131812,0.00737423747689094,0.00480048577558415
0.02018869185839,0.0177896455557351,8.18506428182627e-06,0.0130163913214174,0.0100974732752285,0.00698172391855224
0.0224567119370142,0.0198967510736738,4.83495312816159e-06,0.0145414017639627,0.0115007737473017,0.00796536373888274
0.0204308199835449,0.0180155596912168,6.97840796420716e-06,0.0131168200730946,0.0102780807407232,0.00709476667783065
0.020138355679893,0.0177501228326602,7.51770248296694e-06,0.0129859137671831,0.0100872493009797,0.00697533144524801
0.0183986624159992,0.0161136583156959,1.24580979097954e-05,0.011745628467384,0.00896472207222547,0.0061728212593505
0.023035102516346,0.0204330665590005,3.73331441181987e-06,0.0148320806723449,0.0118946271505765,0.00821705597211532
0.018663952082114,0.0163513415223279,1.28139699991409e-05,0.0118933489857812,0.00911489384167704,0.00627130605527995
0.0164121669540566,0.0142288555962656,2.95283695915918e-05,0.0101219418565409,0.00765367344525963,0.00516515149391701
0.0165024945115009,0.0142435271148262,2.77697978384256e-05,0.00985165837266223,0.00762652930894075,0.00508032917544207
0.01910646146688,0.0167773748425611,9.34323742890022e-06,0.0122129376291565,0.00943567535904171,0.00650389931494109
0.019126033385129,0.0168146911216742,8.54080687544971e-06,0.0123358271720305,0.00946288650346762,0.00654448178638392
0.0207686446745711,0.0183262935690594,7.42775534864018e-06,0.0133908946222121,0.010457135518076,0.0072301680298268
0.0234638758241588,0.0208328063812508,3.31211523854922e-06,0.0150160391904385,0.0121989627123701,0.00840567272865239
0.0205257417605685,0.0181096357954708,5.89000474188753e-06,0.0131165440498162,0.0103804437539529,0.00715248752830197
0.0199417790209689,0.017559233652933,8.47882656827547e-06,0.0128313656144576,0.00994579743310786,0.00687310454982548
0.0203715115500893,0.0179652149610108,7.47875845381784e-06,0.013207324256068,0.0102019165416224,0.00706998918157243
0.0211552608766391,0.0186995985364846,5.39664295786264e-06,0.013638638622127,0.0107441461499497,0.00742788276498538
0.0173838899801658,0.0151245695153983,1.90974329135264e-05,0.0108114777870489,0.00826863867770513,0.00562693806764078
0.0175718592265078,0.0153645402013444,1.35622792416796e-05,0.0112717157361669,0.00846809803917797,0.00584010573738105
0.0212117144890877,0.0187443985195018,6.09240656141682e-06,0.0136846332553961,0.010751742833848,0.00743620997297111
