"","Year","breeding_tmp","breeding_pr","postbreed_tmp","winter_tmin","winter_pr"
"1",1999,-0.119685155290671,0.659965705839318,-0.118929812170615,-0.00283942729856881,0.329619633091768
"2",2000,-0.0954563113917642,0.107798692902672,-0.0388217417151836,0.280034977674706,-0.11250212317983
"3",2001,-0.153963177737726,0.473363040465874,-0.107755817217039,0.0255673663815017,-0.660873969777193
"4",2002,-0.0774092415236822,0.374415421428388,-0.068303982528616,-0.144192485061904,-0.414153533065795
"5",2003,0.241257195653205,-0.789388889358496,-0.200603919609559,0.0633899380780369,0.0892759775876755
"6",2004,-0.294731093202246,-0.420399675304154,-0.00228885462596991,-0.320806460472091,-0.53037149144806
"7",2005,0.0267182596901271,-0.404121230217139,0.0852203260122193,-0.325269321224841,-0.532696534816413
"8",2006,0.058730827422092,-0.26262646869712,0.42408784838391,0.29330276599498,0.0141047963389847
"9",2007,0.105430152218629,0.436491563871832,-0.319709750871471,0.0798387145855426,-0.301464586129783
"10",2008,-0.0979068498357961,0.29997298484403,-0.173350006633406,-0.222362952628964,-0.0161886686694948
"11",2009,0.133125564577473,-0.205145643640595,0.159984198549636,-0.274853137940085,-0.220529609881327
"12",2010,-0.0247062678036851,-0.127232702819515,-0.19560802453463,-0.0656358129931774,-0.567845712260058
"13",2011,0.0266014791604695,-0.26952468241287,0.16985045287069,-0.0947503172657908,0.800692413103324
"14",2012,-0.0508797687246683,0.0771103914455732,0.00312488945363029,-0.194366054281327,0.350411499280162
"15",2013,-0.143751240364621,0.243632640928083,0.022956157473241,0.247777240759415,0.329385911712148
"16",2014,-0.0829091316735817,0.331117049181054,0.290115399988535,0.14297637937194,-0.182784888823494
"17",2015,0.190318828329243,0.0539986117968557,-0.0505945834195683,0.305224004750189,0.650213511697756
"18",2016,-0.0562759995917658,0.785035340628565,0.0285192413488585,-0.0287300257733539,-1.02700678136164
"19",2017,0.159149624869718,-0.305751383744501,-0.137165020157667,0.045940534048453,1.12005069201581
"20",2018,0.316006427379735,-0.949874254595096,0.259337434059239,0.0965012810712014,0.227246788813072
