"","Year","breeding_tmp","breeding_pr","postbreed_tmp","winter_tmin","winter_pr"
"1",1999,0.00740331659079191,0.429144234921612,-0.00320686874646773,0.157182206519733,0.400805313359977
"2",2000,-0.0112128925071419,-0.17731303468706,0.0340193849122377,0.353294479912844,-0.168969356945836
"3",2001,-0.0398755784311474,0.2658012202439,-0.0197841122389024,0.156914619653605,-0.649538058058582
"4",2002,0.0422928138303339,0.0314223694477189,0.0443350931548407,0.0216674329165423,-0.330895770126034
"5",2003,0.345820594501356,-0.90196732066332,-0.105350706870325,0.174037653017978,0.0994572873159025
"6",2004,-0.17600612576162,-0.624000517309772,0.109105016483886,-0.158550389958675,-0.399441939635053
"7",2005,0.0525531223485406,-0.485840499891097,0.11086837762709,-0.260227072737344,-0.539641449091411
"8",2006,0.13699215999976,-0.324066803994169,0.481057494189987,0.3857456387108,0.018127672482925
"9",2007,0.177636167783861,0.420856305859278,-0.252774936681572,0.175022939725139,-0.259909267366165
"10",2008,-0.0421455551399925,0.0847942135647106,-0.129765120226723,-0.167767622440174,-0.0468878848498156
"11",2009,0.199658226919156,-0.422622459504961,0.222581461907231,-0.175312697710498,-0.141168988732442
"12",2010,0.0393911860310217,-0.37220334739215,-0.138458954969526,0.0135411352522355,-0.535052001476191
"13",2011,0.0695098445720689,-0.454290815078196,0.204544999090476,-0.0399505752448869,0.862902632500861
"14",2012,-0.0176488878318825,-0.0511810938265444,0.0270689568032962,-0.155384294020183,0.471339719918836
"15",2013,-0.120173591385059,0.196351748886094,0.0648672589441581,0.280096016179094,0.31868665737482
"16",2014,0.0362703267511447,0.218631892378382,0.401163639174546,0.264365132193813,-0.211657416282075
"17",2015,0.349863681627017,-0.0487260814646606,0.0881079693932329,0.488865160668691,0.858282386690053
"18",2016,-0.0777870068149114,0.581571346257225,-0.0108888412108788,-0.0164038277230436,-1.05341708739659
"19",2017,0.206581283429107,-0.472494064229251,-0.0852072131819284,0.130925807773845,1.27442582715867
"20",2018,0.413119915268012,-0.939599611630141,0.346847704637113,0.219127144840821,0.272629143301252
